Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.915751, 0.00308343, 0.0138251, 0.0252936, 2565, 30937, 1.90539e+06
0.197655, 0.00456513, 0.012526, 0.000449942, 2742, 42979, 26973
0.11469, 0.00707947, 0.0170716, 0.000652298, 2817, 51661, 36747
0.108434, 0.00634493, 0.0118941, 0.000464952, 2758, 52269, 23328
0.0651196, 0.00481753, 0.0109267, 0.000659315, 2769, 40671, 30915
0.0103994, 0.00381933, 0.00657828, 0.000318592, 2786, 40234, 14769
0.0370839, 0.00492179, 0.00577504, 0.000354951, 2768, 39065, 16011
0.00940062, 0.0038882, 0.00551089, 0.00022265, 2767, 39113, 10908
0.00846405, 0.00343989, 0.00502247, 0.000210617, 2778, 35963, 9315
0.0149211, 0.00353642, 0.00393401, 0.00019036, 2722, 38665, 8181
0.0134085, 0.00547326, 0.00793272, 0.000538424, 2755, 48772, 29403
0.00701013, 0.00343049, 0.00357698, 0.00031956, 2730, 35892, 12015
0.0103164, 0.0041416, 0.00617266, 0.000488996, 2766, 37110, 13284
0.0188372, 0.00340952, 0.00271542, 0.000151214, 2692, 38103, 8370
0.179955, 0.00345307, 0.00990551, 0.000562513, 2769, 40680, 33210
0.0364839, 0.00433261, 0.00801219, 0.000452208, 2717, 39285, 25299
0.0408851, 0.00373149, 0.00564993, 0.000341123, 2747, 36969, 17469
0.00958334, 0.00525338, 0.00432763, 0.000334928, 2766, 38547, 14715
0.00855402, 0.00475547, 0.00379699, 0.000253939, 2777, 38574, 10827
0.0103684, 0.00623832, 0.00412772, 0.000296394, 2775, 37307, 9747
0.0126304, 0.00743011, 0.00519695, 0.000377032, 2756, 40035, 11151
0.0106832, 0.00681443, 0.0038656, 0.000225514, 2698, 39154, 7830
0.00945691, 0.00616969, 0.00328451, 0.000221716, 2786, 40581, 9558
0.00775116, 0.00482785, 0.00292124, 0.000211286, 2706, 40336, 10017
0.00933573, 0.00644362, 0.00288887, 0.000197629, 2733, 36884, 6831
0.013915, 0.00741391, 0.00649743, 0.000288234, 2602, 37422, 7560
0.00609819, 0.00378179, 0.00231393, 0.000157574, 2731, 37530, 6372
0.00895527, 0.00628032, 0.00267296, 0.000216647, 2685, 42167, 8451
0.0109867, 0.00781161, 0.00317184, 0.00022128, 2759, 39310, 8235
0.00639193, 0.00370227, 0.00268735, 0.000146693, 2762, 40610, 6561
0.00640885, 0.00369553, 0.00271136, 0.000192826, 2745, 42081, 9288
0.0123553, 0.00737796, 0.00497407, 0.000695953, 2758, 40585, 5238
0.0079031, 0.00425398, 0.00364671, 0.000142257, 2737, 39537, 5535
0.00570485, 0.00346967, 0.00223335, 0.000118107, 2736, 39356, 5211
0.00630004, 0.00428252, 0.00201525, 0.000104098, 2681, 39619, 4482
0.00689944, 0.00435935, 0.00253815, 0.000329812, 2783, 40557, 4968
0.00754387, 0.00345704, 0.00408481, 0.000143689, 2681, 40985, 5184
0.00660446, 0.00356778, 0.00303489, 0.000167224, 2705, 39165, 6966
0.00732965, 0.00333, 0.00399761, 0.000541869, 2694, 40454, 7074
0.00653569, 0.0034896, 0.0030438, 0.000143288, 2722, 39262, 6372
0.00655672, 0.00369123, 0.00286395, 0.000128327, 2706, 41430, 5913
0.00529287, 0.00351799, 0.00177327, 9.9828e-05, 2709, 36965, 4617
0.0090479, 0.00614173, 0.00290314, 0.000144314, 2777, 40358, 5319
0.00988781, 0.00725336, 0.00263183, 0.00019452, 2726, 40396, 8505
